flyer_name,product_name,unit_promo_price,uom,least_unit_for_promo,save_per_unit,discount,organic
week_1_page_1,Ground Sirloin or Ground,,lb,1,4.00,0.50,0
week_1_page_1,Whole Ribeyes & Stripes,6.99,lb,1,3.00,0.43,0
week_1_page_1,Sockeye Salmon Fillets,14.99,lb,1,10.00,0.67,0
week_1_page_1,Whole Chicken,,lb,1,1.30,0.50,0
week_1_page_1,Organic Strawberries,,lb,1,3.00,,1
week_1_page_1,Bone-In Pork Chops,4.99,lb,1,2.00,0.40,0
week_1_page_1,Organic Red & Green Seedless Grapes,2.99,lb,1,1,0.33,1
week_1_page_1,Blueberries,2.5,pint,2,3.49,1.40,0
week_1_page_1,Wild Bourbon Salmon Fillets,,oz,2,1.75,,0
week_1_page_1,Hass Avocados,1.25,,4,0.25,0.20,0
week_1_page_1,Blackened Chicken Salad,7.99,lb,1,2,0.25,0
week_1_page_2,Edamame,6.99,lb,1,2.00,0.29,0
week_1_page_2,Energy Seed Salad,3.99,0z,1,1.00,0.25,0
week_1_page_2,Organic Zesty Carrot Juice,,oz,1,1.00,,1
week_1_page_2,Hamburger & Hot Dog Buns,3.99,oz,1,0.50,0.13,0
week_1_page_2,10-Pack Mini Cookies,3.99,pack,1,0.50,0.13,0
week_1_page_2,Fruit Galettes,6.99,oz,1,2.00,0.29,0
week_1_page_2,Morning Rounds,3.99,pack,1,0.5,0.13,0
week_1_page_2,Tortilla Chips,3.00,oz,2,1.99,0.66,1
week_1_page_2,Pre-Sliced Snake Packs,1.99,oz,1,0.5,0.25,0
week_1_page_2,Brand Wide Sale,,,1,0.1,,0
week_1_page_2,Pinot Grigio Rose or Sparkling Wine,10.99,4 pack cans,1,2.00,0.18,0
week_1_page_2,Brand Wide Sale,9.99,750 ml,1,1,0.100,1
